,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-10-28,0.0,0.0,0.0,17.8,17.8,2,0.0,1.0
1,2019-10-25,17.8,17.8,17.8,17.8,17.8,0,0.0,1.0
2,2019-10-24,17.8,17.8,17.8,17.8,17.8,700,0.0,1.0
3,2019-10-23,18.749,18.749,18.749,18.749,18.749,0,0.0,1.0
4,2019-10-22,18.749,18.749,18.749,18.749,18.749,0,0.0,1.0
5,2019-10-21,18.8,18.8,18.476,18.749,18.749,6000,0.0,1.0
6,2019-10-18,17.34,18.0,17.34,18.0,18.0,600,0.0,1.0
7,2019-10-17,17.45,17.45,17.25,17.25,17.25,1800,0.0,1.0
8,2019-10-16,17.548,17.548,17.548,17.548,17.548,600,0.0,1.0
9,2019-10-15,17.71,17.71,17.71,17.71,17.71,100,0.0,1.0
10,2019-10-14,17.71,17.71,17.71,17.71,17.71,300,0.0,1.0
11,2019-10-11,17.91,17.91,17.91,17.91,17.91,100,0.0,1.0
12,2019-10-10,17.9,17.91,17.0,17.91,17.91,3800,0.0,1.0
13,2019-10-09,18.65,18.65,18.65,18.65,18.65,100,0.0,1.0
14,2019-10-08,17.5,18.65,17.5,18.65,18.65,500,0.0,1.0
15,2019-10-07,18.711,18.711,17.53,17.53,17.53,3600,0.0,1.0
16,2019-10-04,17.52,17.52,17.52,17.52,17.52,100,0.0,1.0
17,2019-10-03,17.52,17.52,17.52,17.52,17.52,100,0.0,1.0
18,2019-10-02,17.52,17.52,17.52,17.52,17.52,400,0.0,1.0
19,2019-10-01,17.9,17.9,17.9,17.9,17.9,100,0.0,1.0
20,2019-09-30,17.9,19.0,17.9,17.9,17.9,300,0.0,1.0
21,2019-09-27,17.32,17.32,17.32,17.32,17.32,100,0.0,1.0
22,2019-09-26,17.32,17.32,17.32,17.32,17.32,0,0.0,1.0
23,2019-09-25,17.54,17.54,17.32,17.32,17.32,500,0.0,1.0
24,2019-09-24,17.35,17.899,16.01,17.35,17.35,3900,0.0,1.0
25,2019-09-23,17.9,17.9,17.778,17.778,17.778,400,0.0,1.0
26,2019-09-20,18.3,18.3,18.3,18.3,18.3,200,0.0,1.0
27,2019-09-19,17.35,17.35,17.35,17.35,17.35,100,0.0,1.0
28,2019-09-18,17.35,17.35,17.35,17.35,17.35,800,0.0,1.0
29,2019-09-17,17.9,17.9,17.9,17.9,17.9,400,0.0,1.0
30,2019-09-16,17.546,17.65,17.546,17.65,17.65,1300,0.0,1.0
