open,high,low,close,volume,adjclose
148.97999572753906,150.4149932861328,148.27999877929688,149.57000732421875,249354,149.57000732421875
146.25,149.74000549316406,144.60000610351562,148.91000366210938,285700,148.91000366210938
145.5,146.77999877929688,141.0,146.22999572753906,529700,146.22999572753906
139.88999938964844,142.1300048828125,139.55999755859378,139.94999694824222,291300,139.94999694824222
140.57000732421878,144.0,139.61000061035156,139.69000244140622,258200,139.69000244140622
141.66000366210938,142.9199981689453,138.82000732421878,139.47999572753906,205000,139.47999572753906
141.41000366210938,142.74000549316406,141.25,141.99000549316406,226200,141.99000549316406
141.97000122070312,143.0399932861328,141.80999755859375,142.0399932861328,185200,142.0399932861328
140.55999755859378,144.00999450683594,138.5,142.13999938964844,318800,142.13999938964844
141.61000061035156,142.24000549316406,140.25,141.02000427246094,296500,141.02000427246094
141.72000122070312,142.38999938964844,140.25,140.63999938964844,268600,140.63999938964844
143.16000366210938,145.6999969482422,141.97000122070312,142.17999267578125,257600,142.17999267578125
146.86000061035156,147.82000732421875,140.92999267578125,142.47000122070312,558000,142.47000122070312
145.14999389648438,147.57000732421875,144.72999572753906,146.9600067138672,170800,146.9600067138672
147.47999572753906,147.99000549316406,144.3000030517578,144.75,282700,144.75
147.39999389648438,148.82000732421875,146.9199981689453,148.10000610351562,170500,148.10000610351562
145.50999450683594,148.2100067138672,145.1199951171875,147.86000061035156,289200,147.86000061035156
142.77000427246094,144.82000732421875,139.41999816894528,144.66000366210938,268900,144.66000366210938
142.9199981689453,143.67999267578125,139.52000427246094,143.08999633789062,259700,143.08999633789062
147.2100067138672,148.64999389648438,143.0500030517578,143.4199981689453,270500,143.4199981689453
147.52000427246094,149.11000061035156,145.58999633789062,147.33999633789062,171700,147.33999633789062
148.75,149.4600067138672,146.61000061035156,147.2899932861328,252300,147.2899932861328
152.50999450683594,153.35000610351562,148.5399932861328,148.67999267578125,225700,148.67999267578125
153.25,153.69000244140625,150.75999450683594,151.88999938964844,197800,151.88999938964844
155.6300048828125,155.97000122070312,153.5,153.8000030517578,200300,153.8000030517578
152.8300018310547,155.35000610351562,152.8000030517578,155.02999877929688,200700,155.02999877929688
153.7899932861328,155.8800048828125,153.7899932861328,154.72000122070312,205200,154.72000122070312
151.69000244140625,153.41000366210938,151.3800048828125,153.17999267578125,177700,153.17999267578125
150.8699951171875,152.0,150.0399932861328,151.77000427246094,138500,151.77000427246094
150.30999755859375,152.0,150.00999450683594,150.66000366210938,61600,150.66000366210938
148.57000732421875,151.42999267578125,148.02000427246094,150.44000244140625,193100,150.44000244140625
149.00999450683594,151.05999755859375,147.41000366210938,149.9199981689453,190400,149.9199981689453
147.55999755859375,150.9499969482422,147.55999755859375,149.5399932861328,213000,149.5399932861328
146.5500030517578,148.72999572753906,145.3300018310547,147.05999755859375,330400,147.05999755859375
151.22999572753906,151.2899932861328,146.36000061035156,146.88999938964844,320600,146.88999938964844
155.33999633789062,156.35000610351562,151.9199981689453,152.1199951171875,213000,152.1199951171875
156.24000549316406,157.61000061035156,155.25,155.5500030517578,149400,155.5500030517578
156.75,156.75,155.25,155.97999572753906,174400,155.97999572753906
156.74000549316406,157.3800048828125,155.0,155.41000366210938,236100,155.41000366210938
153.27999877929688,155.88999938964844,153.27999877929688,155.5,292500,155.5
155.05999755859375,155.99000549316406,153.64999389648438,154.19000244140625,292900,154.19000244140625
155.4199981689453,156.91000366210938,154.25999450683594,154.80999755859375,177600,154.80999755859375
154.3000030517578,155.02000427246094,152.8800048828125,154.1999969482422,161500,154.1999969482422
155.0399932861328,155.6199951171875,152.9499969482422,154.27999877929688,126800,154.27999877929688
154.42999267578125,154.80999755859375,152.77999877929688,154.22999572753906,112400,154.22999572753906
156.36000061035156,157.5800018310547,153.05999755859375,153.41000366210938,133700,153.41000366210938
156.00999450683594,156.77000427246094,154.5,156.30999755859375,126600,156.30999755859375
156.72000122070312,158.25999450683594,155.1199951171875,155.57000732421875,208000,155.57000732421875
157.9499969482422,158.77999877929688,156.4600067138672,156.72000122070312,220500,156.72000122070312
158.0,158.86000061035156,157.2100067138672,157.3699951171875,118800,157.3699951171875
155.39999389648438,157.5399932861328,154.64999389648438,157.1699981689453,141800,157.1699981689453
154.3300018310547,156.0500030517578,152.8699951171875,155.1300048828125,173300,155.1300048828125
155.5800018310547,156.35000610351562,151.8000030517578,153.35000610351562,235900,153.35000610351562
155.8000030517578,156.99000549316406,154.42999267578125,156.02999877929688,279200,156.02999877929688
156.0,157.99000549316406,154.36000061035156,155.5,258700,155.5
156.50999450683594,157.60000610351562,154.47000122070312,156.2100067138672,126900,156.2100067138672
155.16000366210938,158.6300048828125,155.14999389648438,157.0399932861328,267500,157.0399932861328
152.22000122070312,156.60000610351562,151.39999389648438,153.69000244140625,205100,153.69000244140625
150.60000610351562,154.3300018310547,149.5800018310547,153.5399932861328,281100,153.5399932861328
152.0399932861328,152.74000549316406,149.4199981689453,150.2899932861328,320200,150.2899932861328
154.17999267578125,156.72999572753906,152.4499969482422,154.41000366210938,192600,154.41000366210938
155.83999633789062,157.1199951171875,153.47000122070312,154.80999755859375,322800,154.80999755859375
158.44000244140625,159.38999938964844,155.10000610351562,156.1699981689453,193400,156.1699981689453
157.42999267578125,158.86000061035156,156.52000427246094,158.02999877929688,165000,158.02999877929688
161.02999877929688,161.02999877929688,157.35000610351562,158.1199951171875,239500,158.1199951171875
163.22999572753906,165.13999938964844,160.58999633789062,161.10000610351562,494000,161.10000610351562
157.64999389648438,161.55999755859375,154.33999633789062,161.41000366210938,414000,161.41000366210938
