open,high,low,close,volume,adjclose
4.2100000381469735,4.2100000381469735,4.119999885559082,4.150000095367432,8830,4.150000095367432
4.239999771118163,4.300000190734863,4.2100000381469735,4.230000019073486,19400,4.230000019073486
4.099999904632568,4.199999809265137,4.099999904632568,4.199999809265137,7500,4.199999809265137
4.079999923706056,4.079999923706056,3.9600000381469727,4.070000171661377,6300,4.070000171661377
4.099999904632568,4.130000114440918,3.940000057220459,4.050000190734863,34400,4.050000190734863
4.269999980926514,4.269999980926514,3.920000076293945,4.119999885559082,14700,4.119999885559082
3.920000076293945,4.2100000381469735,3.8199999332427983,4.179999828338623,70900,4.179999828338623
3.7899999618530273,3.880000114440918,3.7899999618530273,3.829999923706055,18500,3.829999923706055
3.7000000476837163,3.8199999332427983,3.7000000476837163,3.759999990463257,5200,3.759999990463257
3.640000104904175,3.849999904632568,3.640000104904175,3.759999990463257,48800,3.759999990463257
3.759999990463257,3.9800000190734863,3.619999885559082,3.619999885559082,42200,3.619999885559082
3.809999942779541,3.8199999332427983,3.740000009536743,3.809999942779541,22600,3.809999942779541
3.7300000190734863,3.7999999523162837,3.619999885559082,3.7799999713897705,112300,3.7799999713897705
3.7300000190734863,3.75,3.650000095367432,3.6800000667572017,43400,3.6800000667572017
3.740000009536743,3.740000009536743,3.6800000667572017,3.6800000667572017,11200,3.6800000667572017
3.75,3.75,3.7300000190734863,3.7300000190734863,4800,3.7300000190734863
3.6800000667572017,3.740000009536743,3.670000076293945,3.7000000476837163,1600,3.7000000476837163
3.7699999809265137,3.7799999713897705,3.609999895095825,3.6800000667572017,92400,3.6800000667572017
3.940000057220459,3.940000057220459,3.7699999809265137,3.7899999618530273,4900,3.7899999618530273
4.019999980926514,4.050000190734863,3.859999895095825,3.940000057220459,31400,3.940000057220459
3.849999904632568,3.990000009536743,3.839999914169312,3.990000009536743,8800,3.990000009536743
3.829999923706055,3.9500000476837163,3.829999923706055,3.920000076293945,9100,3.920000076293945
3.7899999618530273,3.940000057220459,3.740000009536743,3.940000057220459,4500,3.940000057220459
3.650000095367432,3.809999942779541,3.650000095367432,3.809999942779541,2800,3.809999942779541
3.650000095367432,3.7300000190734863,3.640000104904175,3.7300000190734863,2100,3.7300000190734863
3.759999990463257,3.759999990463257,3.690000057220459,3.690000057220459,700,3.690000057220459
3.829999923706055,3.829999923706055,3.7699999809265137,3.7699999809265137,900,3.7699999809265137
3.7999999523162837,3.920000076293945,3.7899999618530273,3.7899999618530273,2800,3.7899999618530273
3.7300000190734863,3.7699999809265137,3.7000000476837163,3.7000000476837163,5900,3.7000000476837163
3.7200000286102295,3.7999999523162837,3.690000057220459,3.7999999523162837,2200,3.7999999523162837
3.690000057220459,3.7899999618530273,3.640000104904175,3.740000009536743,44000,3.740000009536743
3.7799999713897705,3.7799999713897705,3.7200000286102295,3.7200000286102295,900,3.7200000286102295
3.829999923706055,3.839999914169312,3.7100000381469727,3.7100000381469727,2500,3.7100000381469727
3.7999999523162837,3.859999895095825,3.690000057220459,3.829999923706055,2500,3.829999923706055
3.7100000381469727,3.900000095367432,3.6800000667572017,3.900000095367432,21900,3.900000095367432
3.5499999523162837,3.75,3.5499999523162837,3.75,7200,3.75
3.75,3.75,3.5699999332427983,3.5999999046325684,4200,3.5999999046325684
3.5999999046325684,3.740000009536743,3.5999999046325684,3.740000009536743,5200,3.740000009536743
3.609999895095825,3.7100000381469727,3.470000028610228,3.470000028610228,4400,3.470000028610228
3.650000095367432,3.6800000667572017,3.5899999141693115,3.619999885559082,6100,3.619999885559082
3.559999942779541,3.650000095367432,3.559999942779541,3.650000095367432,9400,3.650000095367432
3.619999885559082,3.640000104904175,3.4600000381469727,3.4600000381469727,4600,3.4600000381469727
3.5999999046325684,3.650000095367432,3.5999999046325684,3.650000095367432,6100,3.650000095367432
3.640000104904175,3.640000104904175,3.4100000858306885,3.4100000858306885,67200,3.4100000858306885
3.630000114440918,3.690000057220459,3.630000114440918,3.670000076293945,9600,3.670000076293945
3.650000095367432,3.7699999809265137,3.630000114440918,3.650000095367432,12700,3.650000095367432
3.7000000476837163,3.7000000476837163,3.609999895095825,3.650000095367432,2900,3.650000095367432
3.660000085830689,3.7000000476837163,3.650000095367432,3.690000057220459,4900,3.690000057220459
3.690000057220459,3.7000000476837163,3.670000076293945,3.690000057220459,2800,3.690000057220459
3.6800000667572017,3.75,3.6800000667572017,3.7000000476837163,3300,3.7000000476837163
3.759999990463257,3.759999990463257,3.690000057220459,3.7000000476837163,4700,3.7000000476837163
3.6800000667572017,3.690000057220459,3.5999999046325684,3.690000057220459,5600,3.690000057220459
3.7899999618530273,3.809999942779541,3.660000085830689,3.7300000190734863,12700,3.7300000190734863
3.690000057220459,3.7300000190734863,3.640000104904175,3.7200000286102295,7300,3.7200000286102295
3.7799999713897705,3.8199999332427983,3.7200000286102295,3.7300000190734863,13300,3.7300000190734863
3.7899999618530273,3.859999895095825,3.7200000286102295,3.7899999618530273,20600,3.7899999618530273
3.7799999713897705,3.839999914169312,3.7799999713897705,3.8199999332427983,12000,3.8199999332427983
3.7000000476837163,3.7999999523162837,3.7000000476837163,3.7300000190734863,14300,3.7300000190734863
3.809999942779541,3.809999942779541,3.7100000381469727,3.759999990463257,15700,3.759999990463257
3.4600000381469727,3.829999923706055,3.4600000381469727,3.7799999713897705,4900,3.7799999713897705
3.859999895095825,3.859999895095825,3.7100000381469727,3.7799999713897705,12700,3.7799999713897705
3.859999895095825,3.890000104904175,3.839999914169312,3.869999885559082,9700,3.869999885559082
